Superficie implantada en las explotaciones agropecuarias por grupo de cultivos, según período de ocupación y provincia, en hectáreas.;;;;;;;;;;;;;;;;
Fuente: INDEC. Censo Nacional Agropecuario 2018. Resultados definitivos;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
CODIGO;PROVINCIA;PERIODO DE OCUPACION;TOTAL;GRUPO DE CULTIVOS CEREALES;GRUPO DE CULTIVOS OLEAGINOSAS;GRUPO DE CULTIVOS CULTIVOS INDUSTRIALES;GRUPO DE CULTIVOS LEGUMBRES;GRUPO DE CULTIVOS FORRAJERAS ANUALES;GRUPO DE CULTIVOS FORRAJERAS PERENNES;GRUPO DE CULTIVOS ORTALIZAS;GRUPO DE CULTIVOS FLORES DE CORTE;GRUPO DE CULTIVOS AROMATICAS MEDICINALES Y CONDIMENTARIAS;GRUPO DE CULTIVOS FRUTALES;GRUPO DE CULTIVOS BOSQUES Y MONTES IMPLANTADOS;GRUPO DE CULTIVOS VIVEROS;GRUPO DE CULTIVOS SIN DISCRIMINAR
0;País;Total;36.146.226,30;11.325.179,10;14.416.693,20;887.487,30;362.092,10;3.685.328,60;3.759.355,50;139.585,60;582,6;7.895,90;490.770,90;929.106,10;2.423,20;139.725,70
0;País;Primera Ocupacion;31.950.194,90;10.520.458,80;11.640.257,90;869.898,60;337.371,30;3.304.031,60;3.605.701,50;135.472,20;574,6;7.791,10;485.951,90;902.514,50;2.422,20;137.748,30
0;País;Segunda Ocupacion;4.196.031,40;804.720,30;2776435.34;17.588,60;24.720,70;381.297,00;153.653,90;4.113,40;8;104,8;4.819,00;26.591,60;1.0;1.977,40
6;Buenos Aires;Total;11.196.633,80;3.880.253,40;4.510.491,60;299,6;19.870,00;1.604.990,40;1.060.391,00;28.878,20;307,3;1.350,40;5.959,90;25.676,60;1.307,40;56.857,40
6;Buenos Aires;Primera Ocupacion;9.983.826,30;3.778.929,00;3.596.093,90;299,6;19.449,50;1.457.276,60;1.012.439,60;28.785,70;307,3;1.350,20;5.959,40;25.630,20;1.307,40;55.997,40
6;Buenos Aires;Segunda Ocupacion;1.212.807,40;101.324,40;914.397,70;'-;420,5;147.713,80;47.951,40;92,4;'-;0.24;0.5;46,3;'-;860
10;Catamarca;Total;158.357,70;57.362,90;46.592,60;460,5;7.189,30;5.582,60;9.361,30;5.331,60;4,6;171,4;24.980,30;729,3;21,9;568,8
10;Catamarca;Primera Ocupacion;117.254,50;37.540,10;28.619,20;445,5;5.863,10;4.828,90;8.588,00;5.067,50;4,6;160,4;24.826,90;719,2;21,9;568,6
10;Catamarca;Segunda Ocupacion;41.103,10;19.822,70;17.973,30;15;1.326,20;753,7;773,3;264;'-;11;153,3;10.14;'-;0.2
22;Chaco;Total;1.185.579,30;290.970,10;644.014,40;106.076,20;514,5;45.324,00;86.624,40;3.263,80;0;0;22.15;1.424,50;0.059;7.345,00
22;Chaco;Primera Ocupacion;1.025.218,80;215.867,60;564.442,70;104.344,90;512,5;43.275,20;84.885,90;3.150,00;'-;'-;22.15;1.424,50;0.059;7.293,00
22;Chaco;Segunda Ocupacion;160.360,50;75.102,40;79.571,60;1.731,30;2;2.048,70;1.738,50;113,8;'-;'-;'-;'-;'-;52
26;Chubut;Total;41.677,50;889,4;0;0.1;0.6;2.270,70;22.316,50;622,4;6,7;0.90;554,3;14.994,40;7,2;14
26;Chubut;Primera Ocupacion;40.104,70;851,4;'-;0.1;0.6;1.554,70;21.514,50;616,6;6,7;0.90;550,8;14.986,90;7,2;14
26;Chubut;Segunda Ocupacion;1.572,70;38;'-;'-;'-;716;802;5,8;'-;'-;3,4;7,5;'-;0
14;Córdoba;Total;8.077.697,20;2.801.664,10;3.922.488,30;557;46.689,80;627.270,90;628.448,90;15.803,60;3;175,8;4.990,60;13.746,10;75,2;15.783,50
14;Córdoba;Primera Ocupacion;7.144.533,80;2.582.342,60;3.339.626,50;557;40.545,80;534.180,70;601.298,40;14.134,00;3;174,8;3.568,60;12.243,10;75,2;15.783,50
14;Córdoba;Segunda Ocupacion;933.163,40;219.321,40;582.861,70;'-;6.144,00;93.090,20;27.150,50;1.669,50;'-;1.0;1422.0;1.503,00;'-;0
18;Corrientes;Total;508.147,10;81.187,40;5.755,40;20.885,70;53,1;22.287,10;31.254,30;2.763,20;32,8;32;20.474,90;322.802,60;122,2;496,1
18;Corrientes;Primera Ocupacion;481.771,70;80.331,20;5.753,40;20.497,10;29,1;19.660,60;29.445,30;2.568,10;32,8;32;20.308,40;302.535,10;122,2;456,1
18;Corrientes;Segunda Ocupacion;26.375,40;856,2;2;388,5;24.00;2.626,50;1.809,00;195,1;'-;'-;166,5;20.267,50;'-;40
30;Entre Ríos;Total;2.247.040,40;732.599,20;1.005.334,90;24;1.664,00;153.337,60;202.952,80;442,2;0;0;33.877,70;107.206,30;67;9.534,50
30;Entre Ríos;Primera Ocupacion;1.898.614,60;702.889,00;724.423,10;24;1.664,00;130.907,20;188.029,40;322,2;'-;'-;33.800,70;106.953,30;67;9.534,50
30;Entre Ríos;Segunda Ocupacion;348.425,80;29.710,20;280.911,80;'-;'-;22.430,30;14.923,30;120;'-;'-;77;253;'-;0
34;Formosa;Total;274.266,70;24.245,60;8.485,30;6.589,20;370,2;5.572,40;221.767,80;4.196,90;0;0;2.288,40;357,5;145;248
34;Formosa;Primera Ocupacion;268.378,10;23.378,60;8.249,40;6.209,80;330,1;5.160,40;218.226,80;3.850,00;'-;'-;2.236,30;357,5;145;234
34;Formosa;Segunda Ocupacion;5.888,50;867;235,9;379,4;40,1;412;3.541,00;346,9;'-;'-;52,1;'-;'-;14
38;Jujuy;Total;169.192,40;8.887,70;4.097,60;127.615,80;10.341,20;1.316,20;3.633,00;4.588,80;87,3;5,4;6.603,10;1.172,20;8;835,5
